,,,,,NumTrials,,,,
,,1,10,100,1000,10000,100000,500000,1000000
,1,0.53,2.76,9.25,9.35,9.55,21.75,21.65,21.73
,2,0.24,1.91,11.75,18.45,17.07,25.99,41.49,41.53
,4,0.21,2.3,12.79,35.48,35.09,41.46,81.54,81.19
,8,0.21,1.96,19.9,59.68,68.81,77.28,98.42,124.03
Threads,12,0.15,1.79,15.95,48.95,104.78,101.17,147.63,194.42
,16,0.11,1.38,13.05,59.07,79.4,135.39,178.08,226.85
,20,0.11,1.32,11.32,58.75,109.78,116.58,174.41,212.15
,24,0.1,0.9,10.35,61.18,123.65,138.95,177.62,229.87
,32,0.09,1,8.74,0.43,202.68,236.96,224.61,264.03
