NumThreads,NumNodes,MegaTrials/sec,Volume
1,10,0.87,7.644574
1,100,2.01,7.756302
1,200,2.27,7.757409
1,300,3.98,7.757657
1,400,2.38,7.757639
1,500,2.69,7.758089
1,600,2.69,7.75825
1,700,3.04,7.757736
2,10,0.78,7.644574
2,100,4.31,7.756281
2,200,3.64,7.757406
2,300,3.82,7.757612
2,400,4.28,7.757797
2,500,5.04,7.757883
2,600,5.18,7.757863
2,700,5.93,7.757527
4,10,0.44,7.644574
4,100,10,7.756281
4,200,6.62,7.757421
4,300,7.21,7.757653
4,400,7.31,7.757799
4,500,7.53,7.75782
4,600,8.32,7.757783
4,700,8.63,7.757768
8,10,0.34,7.644574
8,100,8.62,7.756286
8,200,11.89,7.757422
8,300,13.42,7.757672
8,400,13.71,7.757771
8,500,14.38,7.757792
8,600,14.32,7.757799
8,700,20,7.75785
12,10,0.31,7.644575
12,100,11.16,7.756286
12,200,14.67,7.757421
12,300,16.33,7.757678
12,400,17.91,7.757778
12,500,17.49,7.757797
12,600,18.09,7.75783
12,700,21.55,7.757871
16,10,0.18,7.644575
16,100,8.16,7.756287
16,200,11.94,7.757423
16,300,15.31,7.757685
16,400,21.3,7.757766
16,500,19.9,7.757812
16,600,18.73,7.757826
16,700,22.22,7.757843
