proj.4:,,,,,,
ARRAYSIZE,SIMD MM/s, Non-SIMD MM/s,,,,
1024,220.94,1818.88,8.23,223.52,1790.74,8.01
2048,167.25,1342.1,8.02,172.59,1406.47,8.15
4096,221.07,1788.91,8.09,225.23,1885.55,8.37
8192,221.18,1793.66,8.11,225.82,1849.67,8.19
16384,221.33,1771.8,8.01,225.92,1858.56,8.23
32768,124.06,923.63,7.44,135.74,1005.48,7.41
65536,221.1,1304.18,5.9,225.75,1797.16,7.96
131072,220.12,1306,5.93,225.77,1798.79,7.97
262144,215.7,1331.42,6.17,222.28,1807.33,8.13
524288,218.61,1253.45,5.73,224.4,1779.96,7.93
1048576,212.54,654.93,3.08,221.84,1603.31,7.23
2097152,213.77,695.33,3.25,219.53,913.12,4.16
4194304,213.19,548.19,2.57,218.82,957.07,4.37
8388608,213.52,506.84,2.37,219.4,685.8,3.13
,,,,,,
,,,,,,
,,,,,,
1024,8.23,8.01,,,,
2048,8.02,8.15,,,,
4096,8.09,8.37,,,,
8192,8.11,8.19,,,,
16384,8.01,8.23,,,,
32768,7.44,7.41,,,,
65536,5.9,7.96,,,,
131072,5.93,7.97,,,,
262144,6.17,8.13,,,,
524288,5.73,7.93,,,,
1048576,3.08,7.23,,,,
2097152,3.25,4.16,,,,
4194304,2.57,4.37,,,,
8388608,2.37,3.13,,,,
